texto
'@odimau @gduvivier não adianta: pelegos do pt têm merda na cabeça  gosta de comunista ladrãovai pra cuba ver o que ébom #bolsonaro2018 ht'
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @mary_mayah:   por um país decente prendam esse bandido&gt; @lulapelobrasil  corruptos na cadeia já @stf_oficial… '
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'@jocimar_moreira @o_antagonista exatamente isso queremos   vamos passar pra frente essa ideia'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
"'rt @g_g_garci: @o_antagonista os verdadeiros brasileiros com amor a pátria, só pensam em uma coisa:   lula já morreu politicam…'"
'rt @rosangela_bolze: nem plano a nem plano b @lulapelobrasil @ptbrasil   plano c de cadeia   @trf4_oficial @jfpr_oficial… '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @rosangela_bolze: nem plano a nem plano b @lulapelobrasil @ptbrasil   plano c de cadeia   @trf4_oficial @jfpr_oficial… '
'rt @profgilbertot:  https://tco/k9i7aq6142'
'rt @profgilbertot:  https://tco/k9i7aq6142'
'@anaamelialemos e ainda vem cobrar da população com impostos e mais impostos#bastachegadecorrupcao '
'rt @rosangela_bolze: alô @gleisi @ptbrasil   lula não vence nem pra cafetão do seu bordel  brasil exige @trf4_oficial… '
'rt @rosangela_bolze: alô @gleisi @ptbrasil   lula não vence nem pra cafetão do seu bordel  brasil exige @trf4_oficial… '
'rt @profgilbertot:  https://tco/k9i7aq6142'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @profgilbertot:  https://tco/k9i7aq6142'
'parabéns ministro felix fischer @stjnoticias  tomou petralha áurea pierre #somostodosmoro   https://tco/ftk55igbys'
'rt @rosangela_bolze: parabéns ministro felix fischer @stjnoticias  tomou petralha áurea pierre #somostodosmoro   https://tco…'
'rt @profgilbertot:  https://tco/k9i7aq6142'
'  #lulainelegivel https://tco/92huvxkvm0'
'rt @rosangela_bolze: parabéns ministro felix fischer @stjnoticias  tomou petralha áurea pierre #somostodosmoro   https://tco…'
'rt @profgilbertot:  https://tco/k9i7aq6142'
'parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://tco/vtytselwwj'
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'rt @rosangela_bolze: parabéns ministro felix fischer @stjnoticias  tomou petralha áurea pierre #somostodosmoro   https://tco…'
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@exame o pt quer criar outra maneira de continuar roubando os trouxas 😡'
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
"'o @jornalnacional tentando, mais uma vez, derrubar @micheltemer estou assistindo😖 desta vez para ver até onde irão ah,  '"
"'@lulapelobrasil lula, cala a boca e se manda pra pelotas lá você será bem recebido '"
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'rt @rosangela_bolze: alô @gleisi @ptbrasil   lula não vence nem pra cafetão do seu bordel  brasil exige @trf4_oficial… '
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'rt @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo https://tco/w30fyx9d5u   #lavajato #lula…'
'rt @rosangela_bolze: parabéns ministro felix fischer @stjnoticias  tomou petralha áurea pierre #somostodosmoro   https://tco…'
'rt @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link https://tco/pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…'
'rt @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  https://tco/7uarnsgpzf #lavajato #lavajato  #lulan…'
"'rt @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari https://tco/90tolnuqwi    #fo…'"
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'e vai rolar a festa    +3 meses de vagabundagem no congresso nacional acabou 2107   https://tco/x4repxk6fa'
' #lula #lulapresidiario2018 https://tco/u4mg3tnasf'
' https://tco/tdp9qpl8ef'
'rt @rosangela_bolze: parabéns ministro felix fischer @stjnoticias  tomou petralha áurea pierre #somostodosmoro   https://tco…'
"'lula, filho do brasil pode ser, se for um filho comparado a suzane richthofen #brasilqueopovoquer '"
'ministro do stj nega recurso de lula que apontava parcialidade de sérgio moro  #lulabandido #lulaladrao https://tco/rcujq1ycyk'
'rt @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'stj rejeita suspeição de moro https://tco/rcfvhbuoyc '
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa'
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'@cellso2013 @lavajatonews só atrapalha o brasil e  as reformas tão necessárias #ficatemeraté2018 #forapetralha  #somostodosmoro #euapoioop'
'encotre o dono do sítio  #somostodosmourao https://tco/wpqzwvib9m'
'rt @loulair1:  já dá-lhe moro https://tco/ndofhau2ua'
'@jornaloglobo '
'rt @loulair1:  já dá-lhe moro https://tco/ndofhau2ua'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'e a defesa de lula perde mais uma será que não desistem de defender o indefensável  https://tco/hox6egbt8i'
'@blogdojefferson nenhum partido do mundo civilizado roubou tanto o seu país a ponto de wuebra_lo'
'rt @lcrive: @blogdojefferson nenhum partido do mundo civilizado roubou tanto o seu país a ponto de wuebra_lo'
'os militares ha anos estão de olho na ladroagem que lula comanda    https://tco/kp1ptnxgtt'
'@lulapelobrasil que honra molusco #lulacondenado '
'rt @izidiooliver: os militares ha anos estão de olho na ladroagem que lula comanda    https://tco/kp1ptnxgtt'
'kkkkk  https://tco/oxznaz8g4p'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@veja '
'@veja '
'@lulapelobrasil aqueles 9 milhões são meus então avisa o sergio moro então por favor vc acha que engana ainda cadeia em vc vagabundo '
'@folha ah mas quando era o stédile ou presidente da cut ou a benedita  ameaçando pegar em armas tava de boas né pinguço #safado   https://'
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'#jrnews quem defende bandido merece ser assaltado e bandido também é  #renancalheirosnacadeia #pmdbnacadeia #genocidas'
"'@patriotacesar @elisjun @faxinanopoder_ @negraotremembe @uniaotricolorba @aruthcao @projetochef @cibezane @limadoc @sandrabrasilia @edilsonbe'
"'sob os olhos de dilma, a honesta   https://tco/ydw9opdcsr'"
'rt @vempraruaminas: e a defesa de lula perde mais uma será que não desistem de defender o indefensável  https://tco/hox6egb…'
'xupakana deve ser preso a qualquer momento    https://tco/hos5tdcqd2'
'xupakana não quer ser preso mas é réu de novo    https://tco/hos5tdcqd2'
'rt @vempraruaminas: e a defesa de lula perde mais uma será que não desistem de defender o indefensável  https://tco/hox6egb…'
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'rt @luxajuda: bandido quer ser presidente    chupa que a cana é doce https://tco/b9kvmun6vz'
"'@mcledimar tirar temer sem que lula/dilma/pt sejam punidos significa que eles são inocentes diante do povão e têm mais chances de voltar,''
'polícia é polícia bandido é bandido #bolsonaro2018 e  https://tco/6zlnzkure4'
'rt @luxajuda: bandido quer ser presidente    chupa que a cana é doce https://tco/b9kvmun6vz'
'@lulapelobrasil quem escreve para o lula é um gde comediante '
'rt @luxajuda: xupakana deve ser preso a qualquer momento    https://tco/hos5tdcqd2'
'rt @luxajuda: xupakana não quer ser preso mas é réu de novo    https://tco/hos5tdcqd2'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'xupakana vai ser preso   https://tco/0gz5s7rdde'
'rt @rosangela_bolze: alô @gleisi @ptbrasil   lula não vence nem pra cafetão do seu bordel  brasil exige @trf4_oficial… '
'rt @soniaprezzotto: @muylaerte @0_marcia  https://tco/tyvynwkbl5'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@folha @jwellingtonmelo tá com medo molusco #lulacondenado '
'rt @luxajuda: bandido quer ser presidente    chupa que a cana é doce https://tco/b9kvmun6vz'
'rt @luxajuda: xupakana deve ser preso a qualquer momento    https://tco/hos5tdcqd2'
'rt @luxajuda: xupakana não quer ser preso mas é réu de novo    https://tco/hos5tdcqd2'
'kim jong un o lula bem falou que vc é gay e bolo fofo vai deixar '
'rt @luxajuda: bandido quer ser presidente    chupa que a cana é doce https://tco/b9kvmun6vz'
'rt @luxajuda: xupakana vai ser preso   https://tco/0gz5s7rdde'
'rt @luxajuda: bandido quer ser presidente    chupa que a cana é doce https://tco/b9kvmun6vz'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@peixotowender ridículo '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@ericamaral10 @lobaoeletrico '
'o que esperar de um povo sem cultura ou de uma mídia fake  lidera pesquisa😂a cada dia #fakemidia inventa uma🤣 https://tco/i5aythypcq'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@o_antagonista @heliovesp  https://tco/gpv4b4r5vv'
'rt @ezequiasns:  https://tco/lkbhzb8rrh'
'rt @ezequiasns: @o_antagonista @heliovesp  https://tco/gpv4b4r5vv'
'@carloszarattini #tocommoro  #ptnuncamais'
'rt @ezequiasns:  https://tco/wjyrkf09fw'
'rt @ezequiasns:  https://tco/zmisr2rm1k'
' https://tco/vdnotbkni1'
'rt @ezequiasns:  https://tco/utrzoavfnt'
'rt @ezequiasns: @o_antagonista @heliovesp  https://tco/gpv4b4r5vv'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @ezequiasns: @o_antagonista @heliovesp  https://tco/gpv4b4r5vv'
' https://tco/kebkjzmlfh'
'rt @ezequiasns:  https://tco/wjyrkf09fw'
'rt @ezequiasns:  https://tco/vdnotbkni1'
'rt @luxajuda: bandido quer ser presidente    chupa que a cana é doce https://tco/b9kvmun6vz'
'rt @ezequiasns:  https://tco/zmisr2rm1k'
"'@paulamarques___ este canalha que alguns defende tem que ser investigado, '"
'rt @ezequiasns:  https://tco/vdnotbkni1'
'@jb5estrelas @tovaga será que a procuradora raquel dodge vai fazer o que o janot deixou de fazer #dilmanacadeia @mpf_pgr @stf_oficial '
'rt @ezequiasns:  https://tco/zmisr2rm1k'
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @ezequiasns:  https://tco/wjyrkf09fw'
'será que é tipo um #triplex do  ou o apto da mãe do #aecionacadeia que seria vendido p/ #joesley #jbs https://tco/samfjhilul'
'rt @ezequiasns: @o_antagonista @heliovesp  https://tco/gpv4b4r5vv'
'rt @ezequiasns:  https://tco/vdnotbkni1'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @luxajuda: xupakana não quer ser preso mas é réu de novo    https://tco/hos5tdcqd2'
"'deus é mais, perna que esta cavando seu sepultura e quem apoia também tudo que mal quer #intervencaomilitarja e  https://tco/dmcsf1lws5'"
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'corra ladrão   https://tco/7h3lpinkc2'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'@jornaloglobo menos um vagabundo, parabéns aos policiais #bolsonaro2018  #intervencaomilitarja'"
'the latest rf comunicações https://tco/48rk9lssr1 thanks to @raulveiga #setembroamarelo '
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'rt @luxajuda: xupakana não quer ser preso mas é réu de novo    https://tco/hos5tdcqd2'
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'rt @rosangela_bolze: pelo amor deus, #moro  já  criminoso e terrorista alto risco social @stf_oficial @mpf_pgr @mpf_prpr htt…'"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @rosangela_bolze: alô @gleisi @ptbrasil   lula não vence nem pra cafetão do seu bordel  brasil exige @trf4_oficial… '
'rt @rosangela_bolze: parabéns gebran neto @trf4_oficial   #somostodosmoro   chupa @czmartins  adevogado de merda https://t…'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'rt @to_de_olho: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zyrsrh50bs … https://t…'
'rt @profgilbertot:  https://tco/k9i7aq6142'
'rt @bhuoriescaussoy: moro dá 15 dias a lula para provar que valores bloqueados são de marisa  https://tco/xrxrddhllo'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'rt @paulacamara_: falta de comprovante de aluguel de imóvel dificulta defesa de lula  https://tco/ii1fpcaczr https://tco/10t…'
'#lulaacabou  já https://tco/wwah1fvpye'
'prendam logo esse crápula  já https://tco/k5c3jendyc'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'sinto muito  '
' https://tco/k8rhtedfvl'
'rt @renatovargens: o cara pra defender o lula de duas uma: está agindo de má fé ou foi lobotizado  '
' https://tco/sihbnnbt9h'
' https://tco/xszkur9nbe'
' https://tco/p7mt6f9evy'
' https://tco/xnqykmesgj'
' https://tco/eeqkcap9tn'
' https://tco/h98zm67wdo'
' https://tco/dpv7ch80zg'
'@lulapelobrasil brasil que o povo quer é  #brasilqueopovoquer #bolsonaro2018'
' https://tco/3rddf9mlul'
' https://tco/tajdwvzbj9'
' https://tco/ojm1xoxoqk'
' https://tco/grvddkscjy'
' https://tco/3v9bz3ecm1'
' https://tco/pjyse5orpr'
' https://tco/pafcyuzelx'
' https://tco/imc7chwb0d'
' https://tco/vec3audshe'
'rt @ezequiasns:  https://tco/pafcyuzelx'
' https://tco/eu5220r0iz'
' https://tco/abeqz0ybbc'
' https://tco/or69wizo8r'
'rt @ezequiasns:  https://tco/pafcyuzelx'
'rt @ezequiasns:  https://tco/imc7chwb0d'
"'lula ficou preocupado com fala sobre intervenção militar, dizem petistas #lulabandido  https://tco/jbn1p817qm'"
'rt @fnn_fakenews: te anima não petralha o que foi aceito foi a análise do pedido tem que provar que ele fez algo errado  http…'
'@eduardopaes_ o povo dai tambem joga resto de fruta no chão  mande lembranças para maricá    #legadorio2016  #cabral45  '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@revoltadoonline @lulapelobrasil '
'rt @ezequiasns:  https://tco/pafcyuzelx'
'rt @ezequiasns:  https://tco/pafcyuzelx'
'@alefrotabrasil  já quero fazer um churrasco de comemoração esse vagabundo tem que ficar preso para sempre'
"'rt @lcrive: @paulamarques___ este canalha que alguns defende tem que ser investigado, '"
'@revoltadoonline @lulapelobrasil  #lulachefaodaorcrim #moroorgulhobrasileiro #voltarevoltadosonline'
'@jornaloglobo chupaaa vagabundo '
'rt @ezequiasns:  https://tco/pafcyuzelx'
'rt @ezequiasns:  https://tco/h98zm67wdo'
' @trf4_oficial @stf_oficial @mpf_prpr @mpf_pgr https://tco/bt6nt3ji96'
'@clelialberti @mariana_godoy escutar o ladrão falar ou uma vaca cagar é a mesma coisa  '
'rt @ezequiasns:  https://tco/imc7chwb0d'
'rt @ezequiasns:  https://tco/pafcyuzelx'
'@expressoepoca '
'@majimura ministro félix fischer @stjnoticias  já negou pedido de suspeição  #somostodosmoro    👊👊👊👊👊👊👊👊👊'
'rt @rosangela_bolze: @majimura ministro félix fischer @stjnoticias  já negou pedido de suspeição  #somostodosmoro    👊👊👊👊👊�'
'rt @rosangela_bolze: @majimura ministro félix fischer @stjnoticias  já negou pedido de suspeição  #somostodosmoro    👊👊👊👊👊�'
'@taxialphaville '
'rt @rosangela_bolze: @majimura ministro félix fischer @stjnoticias  já negou pedido de suspeição  #somostodosmoro    👊👊👊👊👊�'
'rt @rosangela_bolze: cala a boca hepta réu criminoso chefe @lulapelobrasil @inst_lula     brasil exige @trf4_oficial… '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @ezequiasns:  https://tco/h98zm67wdo'
'rt @rosangela_bolze: @majimura ministro félix fischer @stjnoticias  já negou pedido de suspeição  #somostodosmoro    👊👊👊👊👊�'
'rt @ezequiasns:  https://tco/h98zm67wdo'
'rt @rosangela_bolze: cala a boca hepta réu criminoso chefe @lulapelobrasil @inst_lula     brasil exige @trf4_oficial… '
'rt @ezequiasns:  https://tco/h98zm67wdo'
'rt @ezequiasns:  https://tco/pafcyuzelx'
'rt @ezequiasns:  https://tco/h98zm67wdo'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@o_antagonista #foragilmar  #maduropreso #foratemer #foraaecio #mpindependente #3poderespodres #naoreelejaninguem #10medidas'
"'@blogdojefferson acho essas tentativas do molusco ótimas, pois só fortalece o moro e enfraquece ainda mais a teoria de perseguição petist'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @ezequiasns:  https://tco/pafcyuzelx'
'rt @ezequiasns:  https://tco/pafcyuzelx'
'rt @ezequiasns:  https://tco/pjyse5orpr'
' https://tco/nlk39myrt9'
' https://tco/pzsoz8nfwq'
' https://tco/r19whgluhk'
'rt @ezequiasns:  https://tco/nlk39myrt9'
' https://tco/ijkm01bcvn'
' https://tco/jhfjxgoy0d'
' https://tco/o0xf0a2gol'
'rt @ezequiasns:  https://tco/pzsoz8nfwq'
'rt @ezequiasns:  https://tco/r19whgluhk'
'rt @ezequiasns:  https://tco/jhfjxgoy0d'
'rt @ezequiasns:  https://tco/ijkm01bcvn'
'rt @ezequiasns:  https://tco/o0xf0a2gol'
'rt @ezequiasns:  https://tco/nlk39myrt9'
'rt @ezequiasns:  https://tco/o0xf0a2gol'
'rt @ezequiasns:  https://tco/pzsoz8nfwq'
'rt @ezequiasns:  https://tco/jhfjxgoy0d'
'rt @helenafantini: #somostodosmoro   https://tco/2coi847kyi'
"'rt @renataf94508402: @ptbrasil juiz nega pedido da sub procuradora louca de tirar lula das mãos de moro,'"
'infelismente votei 1x nesse ladrão mentiroso @lulapelobrasil  nunca mais agora é  https://tco/q0casm43sp'
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'@muller_gata @joicehasselmann espera deixa eu entender  em 2018 kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @br45ilnocorrupt: @rodrigovesgo @deltanmd ato de apoio ao moro #lavajatoeuapoio pela prisão do lula  brasil… '
' https://tco/sovsm6lr8r'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @spd_33: 🔰apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'enquanto chamarmos favela de comunidade e ficarmos tolerando bandidos não haverá paz  https://tco/y0fnve4le2'
'rt @pauloparmm: enquanto chamarmos favela de comunidade e ficarmos tolerando bandidos não haverá paz  https://tco/y0fnve4le2'
"'@ig primeiramente , vtnc'"
"'rt @90vidalokka: @ig primeiramente , vtnc'"
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'🎥 🇧🇷 #revoltadosonline no front 🎥 👍 #compartilhe usem a hashtag  juntos somos mais fortes e com deus https://tco/hqszafai9d'
"'@veja @lucansp os açougueiros  crias  de luladrão e temer drácula e seus asseclas estão ferrados, kkk  e temer também'"
"'os açougueiros  crias  de luladrão e temer drácula e seus asseclas estão ferrados, kkk  e temer também https://tco/qykdp7qmis'"
'@cintiakwy @stf_oficial esses ratos malditos tem dinheiro do povo enfiado até no *c😡  e temer também'
'@spd_33 @ioneatuante4 @pandarcds @alexnavarra10 @aeciofaraujo @rosevplb @crixtal7 @humbertoreisjr @becabrix @panichiraphael @marcosmineiro57 @'
'esses ratos malditos tem dinheiro do povo enfiado até no *c😡  e temer também https://tco/jdfvroxnpy'
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t'
'esses ratos malditos tem dinheiro do povo enfiado até no *c😡  e temer também https://tco/tzuedudgnh'
"'só enforcando os , temer, dilma, aécio e seus asseclas também https://tco/arkz5byk5x'"
'@odecarvalho '
'🎥 🇧🇷 #revoltadosonline no front 🎥 👍 #compartilhe usem a hashtag  juntos somos mais fortes e com deus https://tco/yoekngyqxx'
"'@lulapelobrasil é verdade,  todos os teus filhos e amigos foram bem incluídos eu quero é '"
'rt @galo9x2:  #lula2018preso https://tco/lkvafpzbq2'
"'@janainadobrasil só enforcando os , temer, dilma, aécio e seus asseclas também'"
'@veja kkkkkkkkk que piada babaca '
"'@uolnoticias barra de ferro no cu que ele não iria enfiar, usaria p/ agredir pessoas e polícias e destruir patrimônio público e privado, '
'@sandrarcreyes @spacelad43 esses ratos malditos tem dinheiro do povo enfiado até no *c😡  e temer também'
'esses ratos malditos tem dinheiro do povo enfiado até no *c😡  e temer também https://tco/ead8q59ftl'
"'rt @to_de_olho: a verdade dói, mas liberta  um post vale mais que mil palavras  https://tco/v4pv4d4opl'"
'lula sem oxigênio  #oantagonista https://tco/nlybprcxhv https://tco/sp3ykgae9o'
"'rt @marimpnetto: @janainadobrasil só enforcando os , temer, dilma, aécio e seus asseclas também'"
'rt @lavajatonews: juiz sérgio moro condena o ex presidente lula a 9 anos e meio de prisão #lavajato   https://tco/rrrbxtgjmp'
'@infomoney nada impedirá a justiça de colocar cada um no seu quadrado '
'🎥 🇧🇷 #revoltadosonline no front 🎥 👍 #compartilhe usem a hashtag  juntos somos mais fortes e com deus https://tco/mbhxlzyax5'
"'esses ratos malditos tem dinheiro do povo enfiado até no *c😡  e temer , dilma aécio e seus asseclas também'"
'@lulapelobrasil graças a deus pq senão o brasil seria muito pior que a venezuela '
"'esses ratos malditos tem dinheiro do povo enfiado até no *c😡  e temer , dilma aécio e seus asseclas também https://tco/xniwtl3elg'"
"'@jornaldaband @lavajatonews esses ratos malditos tem dinheiro do povo enfiado até no *c😡  e temer , dilma aécio e seus asseclas também''
"'esses ratos malditos tem dinheiro do povo enfiado até no *c😡  e temer , dilma aécio e seus asseclas também https://tco/ahrh9edg3v'"
"' e temer , dilma aécio e seus asseclas também https://tco/kgudub73yf'"
"'@jdiasaneto  e temer , dilma aécio e seus asseclas também'"
'@lulapelobrasil bom d elite vc entende  pq todos teus comparsas são d elitehipócrita não engana mais ninguém a não ser os petistas doente'
'@lulapelobrasil o país está cheio de idéias e a mais comentada é '
'moro dá 15 dias a @lulapelobrasil para provar que valores bloqueados são de marisa e agora  #organizaçãocriminosapt https://tco/ummrtn7r7m'
"'@lulapelobrasil garanto que era um jatinho particular do teu amigo, pq vc não anda com o povo no mesmo aviãotem medo do xingamento '"
'@lulapelobrasil nem quem mora no nordeste pq vcs roubam tudo antes de construir '
'rt @adrianadririo: não é nada meu - o samba da prisão do lula    https://tco/mxdoudjjad      via @youtube'
"'rt @adrianadririo: olê olê, olê olê, eu fui pra rua pra derrubar o pt    chora petista - la banda loka liberal  https://t…'"
'@lulapelobrasil já vou te adiantando que a sociedade quer é '
'rt @probrasil_: moro dá 15 dias a @lulapelobrasil para provar que valores bloqueados são de marisa e agora … '
'#pai/mãe sempre sabe de tudo @gleisi #organizaçãocrominosapt @ptbrasil  https://tco/rer9eongoa'
"'@roxmo haja paciência com esse lixo, nojento  #somostodosmoro  '"
"'@lulapelobrasil meu triplex minha vida, meu sítio minha vida, meu jato minha vida, minha ilha minha vida '"
'@ptbrasil @lulapelobrasil lula vence eleições kkkkk só nas pesquisas daquele instituto do teu amigo kkkkkkk '
'prefiro não comentar é muita canalhice do condenado @lulapelobrasil  https://tco/4d1rsyd5dz'
'@lulapelobrasil os viados de do polo exportador de pelotas mandam lembrançasesquecido '
'rt @probrasil_: #pai/mãe sempre sabe de tudo @gleisi #organizaçãocrominosapt @ptbrasil  https://tco/rer9eongoa'
'@lulapelobrasil mais um amigo dando uma ajudinha pro lula pesquisa feita no g1 (era só o começo) vc ñ tinha nem 5% do bolsonaro kkkkkkk  ht'
"'@lulapelobrasil até hj eu não acredito que vc seja real, parece obra de filme de terror '"
"'ansiosamente aguardando o será que @inst_lula perde o emprego e @dilmabr, vai junto  september 22, 2017 at 09:00am'"
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
"' : sem mais❗️ah, é o verbo 😉😂 https://tco/xknbewsdua'"
'@carlosbolsonaro @0nejapagirl se eu fosse seu pai processava o jornalista (#petralha disfarçado) por nivelar seu pai com  sinceramente'
'@dilmabr o norte-coreano vive numa prisão graças ao ditadorzinho d merda sei q vcs petralhas adoram ditaduras mas respeitem os dtos humanos '
'😂😂 @gleisi #organizaçãocriminosapt @lulapelobrasil  @dilmabr #dilmabandida 😂😂 https://tco/amvrzkxiqk'
