texto
'@odimau @gduvivier não adianta: pelegos do pt têm merda na cabeça  gosta de comunista ladrãovai pra cuba ver o que ébom #bolsonaro2018 https://tco/kcjp1avx9m'
'rt @pastorliomar: a movimentação bancária da alma mais honesta desse país     https://tco/984rb7wrob'
'rt @paulacamara_: lula sofre nova derrota no tribunal regional federal    https://tco/lmxrahnjdt'
'@trf4_oficial 👉 '
'😂 muito boa essa é bem provável q @ptnacional @psoloficial @rede_18 e outros tentem alguma manobra surreal para tentar salvar  https://tco/qfxe1jbnxd'
'dia de luto para a #classemediasemheroi aecio neves sofre revés #lavajato #aecionacadeia  #lula2018 https://tco/no4wvb0i1j'
'caiu o eduardo cunha caiu a tal da dilma  agora caiu o aécio  falta o temer  e o   tudo farinha do mesmo saco'
'rt @bem_pop_news:  odebrecht diz que valores a lula superam os marcados em planilha  https://tco/oqzmcmwwen'
"'lula inventou tudo no brasil, até junho e novembro com 31 dias  #lula #pt'"
'recibo e calendario analfabetos    https://tco/lqfunxbc4m'
'31/06  deve ter tb recibo de 31/02  kkkk dia de são nunca #tercadetremurasdv #tercaonvocesabiasdv #tercacomtsunamisdv  https://tco/ocmlxn3ojr'
'rt @izidiooliver: recibo e calendario analfabetos    https://tco/lqfunxbc4m'
'este pelego é uma piada mesmo não sabe nem quantos dias cada mês tem para falsificar os recibos   urgentemente https://tco/17msefe687'
"'rt @paulacamara_: em pedido de desfiliação do pt, palocci diz que lula confessará seus crimes “cedo ou tarde”  https://tco/wo…'"
'com data valida neh   https://tco/p0qy2f2ef4'
'rt @paulo_manso: aí vem mais:   pf deve intimar lula a depor em inquérito que envolve a oi https://tco/mt8xjay6d9 via @veja'
' https://tco/ifsu9nl2js'
'rt @ritaoli36702816: só não é burro pra saquear o país e enganar os seus eleitores  @ptbrasil @lulapelobrasil… '
"'rt @usiuva: lula inventou tudo no brasil, até junho e novembro com 31 dias  #lula #pt'"
'é gópi hahahahahahaha o cheirador se fufu :p  #foratemer #forapsdb #forapsb #forapmdb #forapcdob https://tco/5dkhy8jwdq'
'rt @paulopolitica: muito bem este é petista da gema e é o mentor de todos os crimes já comprovados do partido e do lula  htt…'
'claro que são verdadeiros  que outro animal faria um recibo com o dia 31 de junho   https://tco/ny8sqplcz8'
'rt @ritaoli36702816: só não é burro pra saquear o país e enganar os seus eleitores  @ptbrasil @lulapelobrasil… '
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'rt @deadabarra: palocci sobre propina: ‘dilma e gabrielli vão confirmar’ https://tco/yyvcloclzl via @veja   #fimdopt    '
'2 datas que não existem no calendário  lula pensa mesmo que sergio moro é otário 😂😂😂😂😂😂  https://tco/ypuhvarkwg'
"'deliram, já vendo a realidade do chefe na cadeia diga quanta besteira e quanta mentira   https://tco/jt6ijtba1p'"
'rt @paulacamara_: lula sofre nova derrota no tribunal regional federal    https://tco/lmxrahnjdt'
"'@o_antagonista minimiza e se a fraude for provada, ele irá minimiza-la também esses advogados são um show de incompetência e hipocrisia é '"
'rt @neyllabarata: triste o jararaca ficará com a sentença dele kkkk  #lulacondenado https://tco/oohnn8l2qx'
'rt @paulacamara_: lula sofre nova derrota no tribunal regional federal    https://tco/lmxrahnjdt'
'dia do lula comemoram também no 1° de abril   https://tco/o8dcwkm5hw'
"'apresentar documento falso é crime como assim, 31 de junho mais um crime uhuuu motivo suficiente pra lula virar octaréu  https://tco/wygljika4k'"
'rt @ritaoli36702816: só não é burro pra saquear o país e enganar os seus eleitores  @ptbrasil @lulapelobrasil… '
'hihihi    https://tco/htvfmpruya'
"'@chico_pinheiro agora q palocci acabou de vez com lula, vamos tirar temer #foratemer '"
'rt @ritaoli36702816: só não é burro pra saquear o país e enganar os seus eleitores  @ptbrasil @lulapelobrasil… '
"'o @ptbrasil é uma seita,no qual o @lulapelobrasil se acha uma divindade o famoso,encantador de jumentos acabou '"
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'choraaaa ptzada   #dirceunacadeia  trf4 nega a lula acesso ao programa da propina https://tco/cyookeqsun'
"'por uma tropa de enlouquecidos ideológicos, e como sua divindade, também são ignorantes petismo é uma doença  #delatapalocci'"
'lula apresenta recibos de aluguel com datas que não existem https://tco/bjxfkh2gpr até quando vai mentir '
'rt @mary_greicy: lula condenado dirceu condenadosó falta agora cadeia para os dois  #dirceunacadeia https://t…'
'rt @marciasimoes66:   https://tco/q9jjqntjsf'
'@jairbolsonaro @dezinho47 só não vemos ninguém se coçando com a caravana da vergonha pelo br @jairbolsonaro @tsejusbr @mpf_pgr @stf_oficial  #empauta'
'rt @deadabarra: palocci sobre propina: ‘dilma e gabrielli vão confirmar’ https://tco/yyvcloclzl via @veja   #fimdopt    '
'rt @renatocursage: claro que são verdadeiros  que outro animal faria um recibo com o dia 31 de junho   https://tco/ny8sqplc…'
'rt @paulopolitica: muito bem este é petista da gema e é o mentor de todos os crimes já comprovados do partido e do lula  htt…'
'rt @deadabarra: palocci sobre propina: ‘dilma e gabrielli vão confirmar’ https://tco/yyvcloclzl via @veja   #fimdopt    '
'rt @deadabarra: palocci sobre propina: ‘dilma e gabrielli vão confirmar’ https://tco/yyvcloclzl via @veja   #fimdopt    '
'rt @deadabarra: palocci sobre propina: ‘dilma e gabrielli vão confirmar’ https://tco/yyvcloclzl via @veja   #fimdopt    '
' https://tco/vee16uz9nh'
'@barth_lisia @shumbinho @veranimer @kakapassos @ivamim @sakasakamori @omundrongo @fussballsehr @rosevplb @soraiagebhard @aeciofaraujo cadê a cobra  e o pau 🤣🤣🤣🤣🤣🤣🤣🤣  #dirceunacadeia palocci bandido herói do povo fud'
'rt @viatorsagarana:  https://tco/vee16uz9nh'
'@lulapelobrasil tenha pela prisão  '
"'os recibos do lula são tão verdadeiros, quanto a grávida de taubaté '"
'@lulapelobrasil  https://tco/xmkbnyfgn3'
'tinha impressão digital do geddel nas malas de dinheiro quero ver é achar a da marisa nos recibos '
"'@valor_economico   corrupto, bandido'"
'é muita cara de pau e mau caratismo junto   https://tco/xnvat2eudy'
'palocci eu te admiro por falar tudo o que o meliante @lulapelobrasil é   obrigada '
'rt @susu_brasil: palocci eu te admiro por falar tudo o que o meliante @lulapelobrasil é   obrigada '
'carta de desfiliação de antônio palloci é a pá de cal sobre o cadáver insepulto do chefe da orcrim '
'rt @susu_brasil: palocci eu te admiro por falar tudo o que o meliante @lulapelobrasil é   obrigada '
'pallocci chutou o balde      #jn'
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'a carta que deveria virar panfleto  https://tco/ohzgi7n3cr'
"'outra boa pergunta, palocci  https://tco/thy1adglmu'"
'prendam logo o crápula criminoso condenado chefe da maior quadrilha de bandidos da história do brasil lugar de ladrão é preso  https://tco/ss5me1fpxh'
"'@estadao outra boa pergunta, palocci '"
"'está aí, não há mais como defender o cara  https://tco/9ajxuxyk9m'"
'uma seita guiada por uma pretensa divindade antonio palocci set/17 '
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'esse palocci é um danado 🤣🤣🤣🤣  #quadrilha #camburão #algemas '
'patriota #bolsonaro2018 #brasilacimadetudo  https://tco/fampatutsc'
'@rosevplb meus amigos tdos sabemos q lula vale nadapalocci errou mas está certo denunciando o q sabe prefiro acreditar em palocci '
'30 anos uhuuuuuu  https://tco/gee7zaowrg'
"'palocci soltou a lingua, ñ fez mais q obrigação, bandidão entrega onde está a grana '"
'rt @ritaoli36702816: só não é burro pra saquear o país e enganar os seus eleitores  @ptbrasil @lulapelobrasil… '
"'rt @mulher_direita: palocci soltou a lingua, ñ fez mais q obrigação, bandidão entrega onde está a grana '"
' https://tco/utwgdygxmn'
'rt @mary_greicy: lula condenado dirceu condenadosó falta agora cadeia para os dois  #dirceunacadeia https://t…'
'rt @claudersonmiran: ainda sobre os recibos de lula  https://tco/lkivyplune'
'palocci: até quando vamos fingir acreditar na autoproclamação do homem mais honesto do país  https://tco/po6uoe37go'
'prendam logo o crápula criminoso condenado chefe da maior quadrilha de bandidos da história do brasil lugar de ladrão é preso  https://tco/xy4lnzlntn'
'rt @direita_blog: palocci: até quando vamos fingir acreditar na autoproclamação do homem mais honesto do país  https://t…'
'boa🙌🏻🙌🏻🙌🏻  https://tco/jrximu2lav'
"'@andreanony depois de ver seu vídeo sobre o lula, e acredito mais ainda que seu nome será lembrado eu tô contigo nessa  https://tco/7zk9jqnyml'"
'rt @direita_blog: palocci: até quando vamos fingir acreditar na autoproclamação do homem mais honesto do país  https://t…'
"'estranho o lula, que é corintiano, colocar as data do mundial do palmeiras no documento '"
'genial  😂😂😂😂#aecionacadeia  #renamnacadeia https://tco/cxvdhsbaxm'
"'a casa caiu pro aécio, só falta o lula  #aecionacadeia  #temernacadeia'"
'palocci destruiu lula e dilma  agora no jornal nacional  #dilmanacadeia #foracomunistas https://tco/psw8ar3jdj'
'lugar de bandido é na cadeia e não perambulando pelo país nas mídias podres tramando contra o brasil duro recado aos bandidos '
"'a seita maldita e seu pastor delinquente estão por um fio , já, #entregatudopalocci https://tco/vo81xe0gxe'"
"'quem paga aluguel em moeda corrente é quem guarda dinheiro em mala, apê, container, menos em banco '"
"'rt @mulher_direita: palocci soltou a lingua, ñ fez mais q obrigação, bandidão entrega onde está a grana '"
'defesa de lula apresentou a moro recibos de aluguel com datas inexistentes -  #lavajato    https://tco/v87ql0piej'
"'rt @daitorres4: estranho o lula, que é corintiano, colocar as data do mundial do palmeiras no documento '"
'rt @titoporto10: a justiça no brasil não é levada a sério  pelo fim da impunidade @ppreacarn @belcarvalho5 @justbira… '
"'rt @mulher_direita: palocci soltou a lingua, ñ fez mais q obrigação, bandidão entrega onde está a grana '"
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
"'@ericamaral10 @heliovesp nada haver com uma antena da oi, instalada para atender exclusivamente à um sítio que não é dele, né @mpf_pgr    #patriota51'"
"'@g1politica hahahaha omertá quebrada pelo cumpanheru mais chegado ao capo cabou, pt cabou, honestão '"
'rt @primagalhaesd: genial  😂😂😂😂#aecionacadeia  #renamnacadeia https://tco/cxvdhsbaxm'
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'palocci: “somos um partido ou uma seita guiada por uma pretensa dinvidade” '
'rt @paulacamara_: lula apresenta recibos com datas inexistentes para provar aluguel de apartamento  … '
'rt @susu_brasil: palocci eu te admiro por falar tudo o que o meliante @lulapelobrasil é   obrigada '
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'rt @direita_blog: palocci: até quando vamos fingir acreditar na autoproclamação do homem mais honesto do país  https://t…'
'palocci confirmou o que está charge demonstra pseudo divindade  https://tco/nvo7q9syty'
'rt @ritaoli36702816: só não é burro pra saquear o país e enganar os seus eleitores  @ptbrasil @lulapelobrasil… '
'a carta de palocci é demolidora   #lulapreso https://tco/vzozo4lyar'
"'ansiosamente aguardando o será que @inst_lula perde o emprego e @dilmabr, vai junto  september 26, 2017 at 09:00am'"
'defesa de lula dispensa testemunhas na véspera de depoimentos na zelotes  https://tco/keciqlvwak'
'ess ficou bom né não @lulapelobrasil eu te avisei sobre esse teu advogado  #zedirceunacadeia #gleisinacadeia  #dilmanacadeia https://tco/mqn6rc3hyv'
' @lulapelobrasil brasileiros vão pagar a conta do calote no bndes no governo lula dilma https://tco/ujb1levaff via @youtube'
'depois reclamam da situação do brasil quem vota  https://tco/6ccdx23en5'
' não tem jeito'
'como lula consegue mentir tão descaradamente '
'odebrecht diz que lula recebeu mais dinheiro do que o registrado na planilha italiano  #jovempan https://tco/khovfwfmpc'
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'@blogdonoblat agora q palocci acabou de vez com lula esta na hora de tirar temer e a quadrilha do pmdb #foratemer '
'@oglobopolitica palocci foi a bala de prata para acabar de vez com o traste que arruinou o brasil '
'rt @paulacamara_: lula sofre nova derrota no tribunal regional federal    https://tco/lmxrahnjdt'
"'rt @paulacamara_: em pedido de desfiliação do pt, palocci diz que lula confessará seus crimes “cedo ou tarde”  https://tco/wo…'"
'@ptbrasil palocci é um bom cumpanheiropalocci é um bom cumpanheiro ninguém pode negar '
'rt @paulacamara_: lula sofre nova derrota no tribunal regional federal    https://tco/lmxrahnjdt'
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'@apaupitz isso @pallocci entrega aonde estão guardados os bilhões de r$ q o @ptnacional @ptbrasil roubou do país  #zedirceunacadeia'
"'rt @paulacamara_: em pedido de desfiliação do pt, palocci diz que lula confessará seus crimes “cedo ou tarde”  https://tco/wo…'"
'rt @ritaoli36702816: só não é burro pra saquear o país e enganar os seus eleitores  @ptbrasil @lulapelobrasil… '
"'como alguém, judicialmente,  apresenta um documento com erros tão grosseiros e ainda infla o peito ao dizer que isso comprovar a licitude de alguma coisa @lulapelobrasil para, não tá mais feio, tá ridículo e insustentável '"
'  rt @jaugcord https://tco/cjrqjgr5wh  extinção do pt  fim do foro são paulo  apoio lava jato  fim do mst  somos todos moro'
"'rt @paulacamara_: em pedido de desfiliação do pt, palocci diz que lula confessará seus crimes “cedo ou tarde”  https://tco/wo…'"
'uma mentira nunca teve a perna tao curta  https://tco/5iiuuv2ib9'
'rt @paulacamara_: lula sofre nova derrota no tribunal regional federal    https://tco/lmxrahnjdt'
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
"'rt @paulacamara_: em pedido de desfiliação do pt, palocci diz que lula confessará seus crimes “cedo ou tarde”  https://tco/wo…'"
'o lula que inventou esse dia  https://tco/zgzr0eoxuj'
"'@o_antagonista esses advogados não cansam de passar vergonha, não cada vez mais incriminam o seu cliente que defesa pífia é '"
'ai eh lasca   https://tco/s2pfmxk59u'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @ezequiasns:   rt @jaugcord https://tco/cjrqjgr5wh  extinção do pt  fim do foro são paulo  apoio lava jato  fim do mst  so…'
'a carta de palocci é um míssil devastador '
"'@gabrlelplnhelro @teresinhalopes ele já era, vamos virar a página e concentrar nossos esforços no luladrão '"
'rt @paulacamara_: lula sofre nova derrota no tribunal regional federal    https://tco/lmxrahnjdt'
'rt @susu_brasil: palocci eu te admiro por falar tudo o que o meliante @lulapelobrasil é   obrigada '
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'esperar o q de um corrupto  #lulacondenado #marginal #seteum #bandidobombandidomorto #ptnuncamais  https://tco/tj2cjahqna'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'@veja  #lulaéréu #nãovoteemréu #réunãopodeserpresidente #moroorgulhobrasileiro'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'@lulapelobrasil por mim eu tbm ñ permitirei q petistas falasse tanta mentira basta saber o q é certo ou errado para lhe entender '
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'não adianta mostrar recibo se não tem como provar o pagamento  https://tco/ef6y0zdtgg'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'tchau pt    #jornaldacultura   https://tco/qszc7rxsa9'
'rt @clissiacrepaldi: mal caráter isso sim ele todos os acéfalos que o seguem  https://tco/fskttq5hws'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @politicacabare: não adianta mostrar recibo se não tem como provar o pagamento  https://tco/ef6y0zdtgg'
'@lulapelobrasil falou o pobrinho seus filhos respeitam os mais pobres o sr eu sei q ñ respeita '
'rt @direita_blog: palocci: até quando vamos fingir acreditar na autoproclamação do homem mais honesto do país  https://t…'
'rt @julietapedrosa: realmente a #incompetência do #advogado do canalha mil vezes e maior ladravaz da história  é espantosa… '
'rt @susu_brasil: palocci eu te admiro por falar tudo o que o meliante @lulapelobrasil é   obrigada '
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'perai tem fila 1° é  😊😊😊 https://tco/wj13shmqoh'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'@spd_33 '
'rt @leoalvvesdf: @spd_33 falta o lula 👏🏼👏🏼👏🏼 '
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'palocci envia carta de desfiliação ao pt e deixa lula mais próximo da prisão e de novas condenações https://tco/muqtk3fjfb'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'@ricamconsult lula tem os 10 dedos da mão é verdade '
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'@estadao pessoas defendem o lula por achar que o restante defende o temer ou aécio sqn todos presos seria o ideal  #foratemer'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'aécio é peixe pequeno primeiro '
'nem dirceu nem  pagaram nada https://tco/iddpsqnjgr'
'@blogdojefferson '
'@renovamidia imagina o q farão qdo o alí babá for para o presídio então'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'@humanasnao não poderá alegar velhice para não puxar cana '
'rt @susu_brasil: palocci eu te admiro por falar tudo o que o meliante @lulapelobrasil é   obrigada '
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'@henriolliveira '
'rt @mary_greicy: lula condenado dirceu condenadosó falta agora cadeia para os dois  #dirceunacadeia https://t…'
'lula se diz triste c/ nova pena de dirceu: já pagou qualquer crime q tenha cometido https://tco/cxvsab7zyw o próximo é vc '
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
"'rt @lidialoureir6: sem mais delongas, #dirceunacadeia e para não passar batido  https://tco/oriyiyxqau'"
'rt @izidiooliver: ai eh lasca   https://tco/s2pfmxk59u'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'@foreverpemba 👍🏻solução para o brasil é '
'rt @clissiacrepaldi: mal caráter isso sim ele todos os acéfalos que o seguem  https://tco/fskttq5hws'
'rt @jorgenagel: a carta de palocci é demolidora   #lulapreso https://tco/vzozo4lyar'
' https://tco/6sosypbf3k'
'kkkkkkk nossa  lula tá mudando até oa dias do calendário  '
'rt @ritaoli36702816: só não é burro pra saquear o país e enganar os seus eleitores  @ptbrasil @lulapelobrasil… '
'rt @hlott64: estão queimando a bandeira do brasil  #intervençãomilitarjá https://tco/lh99pfvslc via @youtube'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'palocci pede desfiliação em carta duríssima entregue ao pt https://tco/2ssqxqvtzc via @veja  @sakasakamori @lobaoeletrico @edcar1811 @n_carvalheira @ricardo___rf @uli_cassilva @patitabr @sandrabrasilia @motta1302'
'  somos todos trf 4 https://tco/bdvnva5gtd'
'emissor de recibos 9 fingers pague quando quiser  receba  sem  prazo  #jornaldacultura  https://tco/yftsikxbkx'
'rt @mestre_tigresa: palocci pede desfiliação em carta duríssima entregue ao pt https://tco/2ssqxqvtzc via @veja … '
'este trecho da carta de palloci merece virar adesivo ou virar out-doors pelo país https://tco/fvtmnbw5hx @mblivre  https://tco/dultyonrs9'
'vão matar o palocci como mataram o celso daniel  @lulapelobrasil #dirceunacadeia https://tco/gs8f58rkq0'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @mestre_tigresa: palocci pede desfiliação em carta duríssima entregue ao pt https://tco/2ssqxqvtzc via @veja … '
'@lulapelobrasil ficamos felizes em saber q está com essa disposição pois assim q for preso não alegará q está com problemas de saúde '
'vai pra cadeia ladrão otário  https://tco/rif70fdrx1'
'rt @jorgenagel: a carta de palocci é demolidora   #lulapreso https://tco/vzozo4lyar'
"'nem partidos, nem seitas,todos são quadrilhas, mafias e nós brasileiros uns otários, covardes que vos toleraram  seu malocci '"
"'nem partidos, nem seitas,todos são quadrilhas, mafias e nós brasileiros uns otários, covardes que vos toleraram  seu malocci  https://tco/ycbem29c6u'"
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @jorgenagel: a carta de palocci é demolidora   #lulapreso https://tco/vzozo4lyar'
'rt @mestre_tigresa: palocci pede desfiliação em carta duríssima entregue ao pt https://tco/2ssqxqvtzc via @veja … '
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @rodrigovcortes: @foreverpemba 👍🏻solução para o brasil é '
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @mestre_tigresa: palocci pede desfiliação em carta duríssima entregue ao pt https://tco/2ssqxqvtzc via @veja … '
"'rt @fernando_phn: @veja quero ver ele explicar a mentira, com outra mentira vai pra cadeia velhote   #bolsonaro2018'"
'rt @pastorliomar: a movimentação bancária da alma mais honesta desse país     https://tco/984rb7wrob'
"'canalha @trf4_oficial pelo amor de deus, mandem logo esse terrorista oras grades  https://tco/ttcmxitgpa'"
"'rt @sandrabrasilia: canalha @trf4_oficial pelo amor de deus, mandem logo esse terrorista oras grades  https://tco/ttcmxitgpa'"
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'com o governo do pt junho ganhou mais um dia 31 de junho dia do petista honesto '
'rt @jorgenagel: a carta de palocci é demolidora   #lulapreso https://tco/vzozo4lyar'
"'vendo essa propaganda política, só rindo o pt defender o brasil bando de ladrões '"
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @mestre_tigresa: palocci pede desfiliação em carta duríssima entregue ao pt https://tco/2ssqxqvtzc via @veja … '
"'rt @claudia_maria: vendo essa propaganda política, só rindo o pt defender o brasil bando de ladrões '"
'os segredos que palocci vai revelar  https://tco/bo9onorwx4'
'@ptbrasil vou votar no meu malvado favorito - palocci '
'agora tudo faz sentido  #lulanuncamais   https://tco/qlkaqjchiw'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @titoporto10:  https://tco/rzieguxnvt'
'rt @bhuoriescaussoy: os segredos que palocci vai revelar  https://tco/bo9onorwx4'
'rt @mestre_tigresa: palocci pede desfiliação em carta duríssima entregue ao pt https://tco/2ssqxqvtzc via @veja … '
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'😂😂😂😂😂😂 chora ptzada   #dirceunacadeia https://tco/h9emgzatyd'
'@blogdojefferson moralmente isso faz toda a diferença p o pt e sua facção  #gleisinacadeia #gleisinacadeia #ptnuncamais'
'@fabaoporque só uso 13 - '
'rt @jorgenagel: a carta de palocci é demolidora   #lulapreso https://tco/vzozo4lyar'
'resumindo:  mandou 1 fodase pra ptralhada    https://tco/5mjerxk0gr'
'rt @mestre_tigresa: palocci pede desfiliação em carta duríssima entregue ao pt https://tco/2ssqxqvtzc via @veja … '
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
"'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'"
'rt @mestre_tigresa: palocci pede desfiliação em carta duríssima entregue ao pt https://tco/2ssqxqvtzc via @veja … '
"'rt @sandrabrasilia: canalha @trf4_oficial pelo amor de deus, mandem logo esse terrorista oras grades  https://tco/ttcmxitgpa'"
"'@deputadofederal @nautico1901 samuel apóio antes e não apoia mais, agora tem muitos jumentos que votaram em lula e ainda continua apoiando '"
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'#lavajato  https://tco/wfzgjalzu5'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @jorgenagel: a carta de palocci é demolidora   #lulapreso https://tco/vzozo4lyar'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'@lulapelobrasil  https://tco/xughyilspf'
'31 de junho e  31 de novembro são oficializados os dias dos petistas honestos '
'@ptbrasil e o aumento da pena do zé dirceu quadrilha '
'tem que ter compensação ambiental por desperdício de tanto papel  https://tco/frnsz2qsca'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @deadabarra: @iojandaira é chegou ao fim  https://tco/jsgk1fplln'
'rt @spd_33: 🔰sabe fazia um tempo que não dizia isso desse jeito tava sentindo falta 🤣😂🤣     se você concor… '
'rt @mestre_tigresa: palocci pede desfiliação em carta duríssima entregue ao pt https://tco/2ssqxqvtzc via @veja … '
'@ptbrasil isso é somente um jeito de roubarem nosso dinheiro e enviarem para a ditadura cubana quadrilha de bandidos '
'rt @jorgenagel: a carta de palocci é demolidora   #lulapreso https://tco/vzozo4lyar'
'tem que rir pra não chorar será q alguém ainda acredita nesse bandido    https://tco/uwdh6ywzcs'
' viu @gleisi    https://tco/5g4jfvybqa'
"'não se iludam cambada,esse é mais um do mesmo lixo que esta luladrão da silva,do mesmo congresso inútil nacional  aécio também'"
'@danielperrone @g1 parece até piadaaté quando esse lula vai tentar justificar o injustificável  '
"'não se iludam cambada,esse é mais um do mesmo lixo que esta luladrão da silva,do mesmo congresso inútil nacional  aécio também https://tco/zdfyqxprol'"
'rt @mestre_tigresa: palocci pede desfiliação em carta duríssima entregue ao pt https://tco/2ssqxqvtzc via @veja … '
'#lulanuncamais  https://tco/pxojf0rxyh'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
'rt @gus_moreira: o lula que inventou esse dia  https://tco/zgzr0eoxuj'
"'@cintiakwy @gr0115gabriel @stf_oficial @aecioneves não se iludam cambada,esse é mais um do mesmo lixo que esta luladrão da silva,do mesmo congresso inútil nacional  aécio também'"
"'não se iludam cambada,esse é mais um do mesmo lixo que esta luladrão da silva,do mesmo congresso inútil nacional  aécio também https://tco/ssovcqq8xa'"
'@revistaistoe @ary_antipt @10neto  '
